DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,ES,2019,3835,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,ES,2020,4094,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,ES,2021,4314,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,FI,2015,453,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,FI,2016,531,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,FI,2017,361,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,FI,2019,401,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,FI,2020,479,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,FR,2015,11842,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,FR,2016,12826,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,FR,2017,14859,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HR,2015,187,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HR,2016,241,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HR,2017,293,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HR,2018,294,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HR,2019,318,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HR,2020,322,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HR,2021,263,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HU,2015,505,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HU,2016,491,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HU,2017,399,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HU,2018,370,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HU,2019,443,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HU,2020,458,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,HU,2021,436,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IE,2015,93,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IE,2016,186,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IE,2017,188,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IE,2019,158,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IE,2020,170,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IE,2021,213,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IS,2018,22,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IS,2019,19,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IS,2020,22,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IT,2015,16423,r
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IT,2016,17273,r
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IT,2017,22729,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,IT,2018,19599,r
